,Name,Team,Pos,AVG,ESPN,CBS,Yahoo,Underdog,Fantrax,ESPN AAV,Status,Injury
799,Dario Saric,PHO,F,297.8,139.93,-,-,-,455.60,-1,,
T147,Luka Mitrovic,FA,F,139.9,139.93,-,-,-,-,-1,,
765,Juancho Hernangomez,TOR,F,272.7,139.93,-,-,-,405.45,-1,OUT,Ankle
827,Jared Butler,FA,G,317.3,139.93,-,-,-,494.70,-1,,
845,Landry Shamet,PHO,G,334.9,139.94,-,-,-,529.90,-1,,
T147,Lance Stephenson,FA,G,139.9,139.94,-,-,-,-,-1,GTD,Knee
T147,Nemanja Bjelica,FA,F,139.9,139.94,-,-,-,-,-1,,
911,Ish Wainright,PHO,F,400.9,139.94,-,-,-,661.90,-1,,
869,R.J. Hampton,ORL,G,356.1,139.94,-,-,-,572.20,0.03,,
T147,Tristan Thompson,FA,C,139.9,139.94,-,-,-,-,-1,,
T147,Stephen Zimmerman,FA,C,139.9,139.94,-,-,-,-,-1,,
633,Will Barton,WAS,F,141.5,139.94,117.34,146.00,153.10,151.34,0.00,,
T147,Lou Williams,FA,G,139.9,139.94,-,-,-,-,-1,,
T147,J.J. O'Brien,FA,F,139.9,139.94,-,-,-,-,-1,,
894,Raul Neto,CLE,G,380.1,139.94,-,-,-,620.20,-1,,
T147,Matteo Spagnolo,FA,G,139.9,139.94,-,-,-,-,-1,,
805,Gabe Vincent,MIA,G,300.7,139.94,-,-,-,461.49,-1,OUT,Knee
734,Ricky Rubio,CLE,G,237.6,139.95,-,-,191.80,381.12,-1,OUT,Knee
736,Doug McDermott,SAS,F,239.4,139.95,156.43,-,192.00,469.30,-1,GTD,Ankle
T166,Justin Jackson,BOS,F,140.0,139.95,-,-,-,-,-1,,
T166,Anthony Brown,FA,F,140.0,139.95,-,-,-,-,-1,,
T166,Matthew Dellavedova,SAC,G,140.0,139.95,-,-,-,-,-1,,
944,Josh Jackson,FA,F,426.4,139.95,-,-,-,712.90,-1,,
T166,Sharife Cooper,FA,G,140.0,139.95,-,-,-,-,-1,,
T166,Sean McDermott,FA,F,140.0,139.95,-,-,-,-,-1,,
891,Naji Marshall,NOP,F,373.4,139.95,-,-,-,606.90,-1,,
785,Goga Bitadze,IND,C,289.1,139.95,-,-,-,438.20,-1,,
878,Aaron Nesmith,IND,F,364.1,139.95,-,-,-,588.20,-1,,
924,James Johnson,IND,F,414.4,139.95,-,-,-,688.80,-1,GTD,Elbow
T166,Rakeem Christmas,FA,F,140.0,139.95,-,-,-,-,-1,,
809,Bismack Biyombo,PHO,C,304.0,139.95,-,-,-,467.95,-1,,
T166,Michael Carter-Williams,FA,G,140.0,139.95,-,-,-,-,-1,,
T166,Rajon Rondo,FA,G,140.0,139.95,-,-,-,-,-1,,
811,Delon Wright,WAS,G,306.2,139.95,-,-,-,472.43,0.01,OUT,Hamstring
932,Max Christie,LAL,G,419.4,139.95,-,-,-,698.90,-1,,
825,Jock Landale,PHO,C,315.4,139.95,-,-,-,490.90,-1,,
T779,Nick Richards,CHA,C,284.3,139.95,-,-,-,428.68,-1,,
920,Theo Maledon,CHA,G,411.4,139.95,-,-,-,682.90,-1,,
868,Kessler Edwards,BKN,F,355.8,139.95,-,-,-,571.70,-1,,
T166,Josh Hall,FA,F,140.0,139.95,-,-,-,-,0.00,,
786,Willy Hernangomez,NOP,C,290.4,139.95,-,-,-,440.93,-1,,
T166,Duje Dukan,FA,F,140.0,139.95,-,-,-,-,-1,,
T166,Antonio Blakeney,FA,G,140.0,139.96,-,-,-,-,-1,,
897,Kai Jones,CHA,C,381.9,139.96,-,-,-,623.90,-1,,
T166,Kris Dunn,FA,G,140.0,139.96,-,-,-,-,-1,OUT,Illness
T166,Luka Garza,MIN,C,140.0,139.96,-,-,-,-,-1,,
882,Furkan Korkmaz,PHI,G,366.1,139.96,-,-,-,592.20,-1,,
938,Vlatko Cancar,DEN,F,422.4,139.96,-,-,-,704.90,0.00,,
T166,Zoran Dragic,FA,G,140.0,139.96,-,-,-,-,-1,,
832,Zeke Nnaji,DEN,F,324.8,139.96,-,-,-,509.70,-1,,
775,Jordan McLaughlin,MIN,G,282.9,139.96,-,-,191.60,517.15,-1,,
900,Davon Reed,DEN,G,388.4,139.96,-,-,-,636.90,-1,,
T166,Jarrett Culver,ATL,F,140.0,139.96,-,-,-,-,-1,,
T864,Keon Johnson,POR,G,353.8,139.96,-,-,-,567.60,-1,GTD,Hip
750,Jalen Johnson,ATL,F,256.0,139.96,-,-,191.90,436.14,-1,,
T166,Mike Scott,FA,F,140.0,139.96,-,-,-,-,-1,,
T166,Alex Kirk,FA,C,140.0,139.96,-,-,-,-,-1,,
T166,Luke Travers,FA,G,140.0,139.96,-,-,-,-,-1,,
896,Derrick Favors,FA,C,381.3,139.96,-,-,-,622.70,-1,,
970,Eric Bledsoe,FA,G,445.4,139.96,-,-,-,750.80,0.00,,
T166,D.J. Wilson,FA,C,140.0,139.96,-,-,-,-,-1,,
T166,Tremont Waters,FA,G,140.0,139.96,-,-,-,-,-1,,
885,Haywood Highsmith,MIA,F,369.6,139.96,-,-,-,599.20,-1,,
804,Cam Reddish,NYK,F,300.5,139.96,-,-,191.90,569.70,0.01,,
T166,Justin James,FA,G,140.0,139.96,-,-,-,-,-1,OUT,Ankle
856,Jericho Sims,NYK,C,345.4,139.96,-,-,-,550.90,0.02,,
T166,Ersan Ilyasova,FA,F,140.0,139.96,-,-,-,-,-1,,
T658,Jalen Duren,DET,C,151.2,139.96,140.53,139.80,173.10,162.68,0.01,,
T166,Killian Tillie,FA,F,140.0,139.96,-,-,-,-,-1,,
922,Maurice Harkless,FA,F,413.4,139.96,-,-,-,686.90,-1,,
T166,Jay Scrubb,FA,G,140.0,139.96,-,-,-,-,-1,,
814,Mamadi Diakite,CLE,F,307.9,139.96,-,-,-,475.80,-1,,
T166,Jacob Wiley,FA,F,140.0,139.96,-,-,-,-,-1,,
945,Dylan Windler,CLE,G,426.9,139.96,-,-,-,713.90,-1,OUT,Ankle
943,Garrett Temple,NOP,G,425.9,139.96,-,-,-,711.90,-1,,
792,Hamidou Diallo,DET,G,293.2,139.96,-,-,192.00,547.60,-1,,
T166,Chris Silva,FA,C,140.0,139.96,-,-,-,-,-1,,
844,Chimezie Metu,SAC,C,333.9,139.96,-,-,-,527.93,-1,,
T166,Anthony Lamb,GSW,F,140.0,139.96,-,-,-,-,-1,,
T166,Larry Drew,FA,G,140.0,139.96,-,-,-,-,-1,,
T166,Rade Zagorac,FA,F,140.0,139.96,-,-,-,-,-1,,
851,Markieff Morris,BKN,F,340.1,139.96,-,-,-,540.27,-1,,
697,Mark Williams,CHA,C,186.4,139.96,-,-,149.10,270.05,-1,OUT,Ankle
751,Larry Nance,NOP,F,257.7,139.97,-,-,191.70,441.50,0.00,,
T166,Isaac Bonga,FA,F,140.0,139.97,-,-,-,-,0.00,,
T166,Brad Wanamaker,FA,G,140.0,139.97,-,-,-,-,-1,,
884,Kenrich Williams,OKC,F,368.3,139.97,-,-,-,596.70,-1,OUT,Knee
T166,Moses Wright,FA,C,140.0,139.97,-,-,-,-,-1,,
T166,DeAndre Daniels,FA,F,140.0,139.97,-,-,-,-,-1,,
T166,Marcus Georges-Hunt,FA,F,140.0,139.97,-,-,-,-,-1,,
T166,Quinndary Weatherspoon,FA,G,140.0,139.97,-,-,-,-,0.18,,
966,Isaiah Mobley,CLE,C,443.4,139.97,-,-,-,746.90,0.00,,
T166,David Duke,BKN,G,140.0,139.97,-,-,-,-,-1,,
T166,Arnoldas Kulboka,FA,F,140.0,139.97,-,-,-,-,-1,,
T166,Mitchell Watt,FA,F,140.0,139.97,-,-,-,-,-1,,
808,John Konchar,MEM,G,302.4,139.97,-,-,191.90,575.20,-1,,
T166,Juwan Morgan,FA,F,140.0,139.97,-,-,-,-,-1,,
T166,Petr Cornelie,FA,F,140.0,139.97,-,-,-,-,-1,,
T166,Ryan Rollins,GSW,G,140.0,139.97,-,-,-,-,-1,,
887,Garrison Mathews,HOU,G,370.8,139.97,-,-,-,601.70,-1,,
T166,Xavier Sneed,FA,F,140.0,139.97,-,-,-,-,-1,,
942,Edmond Sumner,BKN,G,425.4,139.97,-,-,-,710.90,-1,GTD,Upper Leg
T166,Jonathon Simmons,FA,G,140.0,139.97,-,-,-,-,-1,,
T166,Antonius Cleveland,FA,G,140.0,139.97,-,-,-,-,-1,,
T166,Tyrell Terry,FA,G,140.0,139.97,-,-,-,-,-1,,
T166,Shaquille Harrison,FA,G,140.0,139.97,-,-,-,-,-1,,
T166,Louis Labeyrie,FA,F,140.0,139.97,-,-,-,-,-1,,
T166,Brian Bowen,FA,F,140.0,139.97,-,-,-,-,-1,,
T166,Robert Woodard,FA,G,140.0,139.97,-,-,-,-,-1,GTD,Undisclosed
757,Josh Richardson,SAS,G,261.1,139.97,-,-,191.90,451.37,-1,GTD,Ankle
801,Ish Smith,DEN,G,298.7,139.97,-,-,191.90,564.20,-1,,
T166,Jordan Goodwin,WAS,G,140.0,139.97,-,-,-,-,-1,,
T166,D.J. Stephens,FA,F,140.0,139.97,-,-,-,-,-1,,
901,Kira Lewis,NOP,G,388.9,139.97,-,-,-,637.90,0.01,,
937,Patrick Baldwin,GSW,F,421.9,139.97,-,-,-,703.90,-1,,
T166,Marcus Paige,FA,G,140.0,139.97,-,-,-,-,-1,,
T166,Tomas Satoransky,FA,G,140.0,139.97,-,-,-,-,-1,,
T166,Kendall Brown,IND,F,140.0,139.97,-,-,-,-,-1,,
T166,Jon Teske,FA,C,140.0,139.97,-,-,-,-,-1,,
T166,Sekou Doumbouya,FA,F,140.0,139.97,-,-,-,-,-1,,
T166,Marcus Derrickson,FA,F,140.0,139.97,-,-,-,-,-1,,
T166,Semaj Christon,FA,G,140.0,139.97,-,-,-,-,-1,,
T166,Yves Pons,FA,F,140.0,139.97,-,-,-,-,0.00,,
T166,Cristiano Felicio,FA,C,140.0,139.97,-,-,-,-,-1,,
T166,Walter Lemon,FA,G,140.0,139.97,-,-,-,-,0.02,,
T166,Tyrone Wallace,FA,G,140.0,139.97,-,-,-,-,-1,,
T166,Quinn Cook,FA,G,140.0,139.97,-,-,-,-,-1,,
T166,Thon Maker,FA,C,140.0,139.97,-,-,-,-,-1,,
T166,Cliff Alexander,FA,F,140.0,139.97,-,-,-,-,-1,,
T166,Cat Barber,FA,G,140.0,139.97,-,-,-,-,0.00,OUT,Undisclosed
T777,Jordan Nwora,MIL,F,284.1,139.97,-,-,191.80,520.40,0.01,,
T166,Karim Mane,FA,G,140.0,139.97,-,-,-,-,-1,,
T166,Dante Exum,FA,G,140.0,139.97,-,-,-,-,-1,,
T166,Isaiah Briscoe,FA,G,140.0,139.97,-,-,-,-,-1,,
T166,Vit Krejci,ATL,G,140.0,139.97,-,-,-,-,-1,,
T166,Jordan Bone,FA,G,140.0,139.97,-,-,-,-,-1,GTD,Illness
T166,RJ Nembhard,FA,G,140.0,139.97,-,-,-,-,-1,,
T166,Kyle Guy,FA,G,140.0,139.97,-,-,-,-,-1,,
T166,Malik Newman,FA,G,140.0,139.97,-,-,-,-,-1,OUT,Undisclosed
T166,Eric Mika,FA,C,140.0,139.97,-,-,-,-,-1,,
T166,Nicolas Brussino,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Marques Bolden,FA,C,140.0,139.98,-,-,-,-,-1,GTD,Shoulder
T166,JaQuori McLaughlin,FA,G,140.0,139.98,-,-,-,-,-1,,
947,Caleb Houstan,ORL,F,427.9,139.98,-,-,-,715.90,-1,,
T166,Rawle Alkins,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Alize Johnson,SAS,F,140.0,139.98,-,-,-,-,-1,,
841,Alex Len,SAC,C,331.6,139.98,-,-,-,523.20,-1,,
T166,Jorge Gutierrez,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Bryce Cotton,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Sheldon Mac,FA,G,140.0,139.98,-,-,-,-,-1,,
850,Terry Taylor,IND,F,338.6,139.98,-,-,192.00,683.90,-1,,
T166,Matt Thomas,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Paul Zipser,FA,F,140.0,139.98,-,-,-,-,-1,,
859,Andrew Nembhard,IND,G,349.1,139.98,-,-,-,558.27,-1,,
748,Javonte Green,CHI,F,255.1,139.98,-,-,192.00,433.33,0.00,GTD,Knee
735,Jalen McDaniels,CHA,F,239.2,139.98,-,-,191.90,385.76,-1,,
T166,Didi Louzada,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Cam Reynolds,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Jaylen Hands,FA,G,140.0,139.98,-,-,-,-,0.01,,
T166,Alec Brown,FA,C,140.0,139.98,-,-,-,-,-1,,
T166,Jabari Brown,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Marcus Eriksson,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Nicolas Laprovittola,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Georgios Papagiannis,FA,C,140.0,139.98,-,-,-,-,-1,,
T166,Jamil Wilson,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Zach Norvell,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Mangok Mathiang,FA,C,140.0,139.98,-,-,-,-,-1,,
T166,Joel Bolomboy,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Branden Dawson,FA,F,140.0,139.98,-,-,-,-,-1,,
895,Josh Okogie,PHO,F,380.4,139.98,-,-,-,620.90,0.00,,
968,Deng Adel,FA,F,443.9,139.98,-,-,-,747.80,-1,,
T166,Jarron Cumberland,FA,G,140.0,139.98,-,-,-,-,-1,OUT,Personal
T166,Willie Cauley-Stein,FA,C,140.0,139.98,-,-,-,-,-1,,
T166,London Perrantes,FA,G,140.0,139.98,-,-,-,-,-1,,
874,Sterling Brown,FA,G,360.8,139.98,-,-,-,581.70,-1,,
T166,Jordan Bell,FA,C,140.0,139.98,-,-,-,-,-1,,
T166,A.J. Hammons,FA,C,140.0,139.98,-,-,-,-,-1,,
847,Cody Zeller,FA,C,336.1,139.98,-,-,-,532.20,-1,,
T166,Lorenzo Brown,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Ed Davis,FA,C,140.0,139.98,-,-,-,-,-1,,
T166,Brandon Goodwin,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Nicolo Melli,FA,F,140.0,139.98,-,-,-,-,-1,,
T754,Johnny Davis,WAS,G,260.2,139.98,-,-,190.60,449.92,-1,GTD,Covid-19
T166,D.J. Augustin,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Nico Mannion,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Devon Hall,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Issuf Sanon,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Johnathan Williams,FA,C,140.0,139.98,-,-,-,-,-1,,
T166,Josh Gray,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,James Webb,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Georgios Kalaitzakis,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Brandon Williams,FA,G,140.0,139.98,-,-,-,-,0.00,,
763,Omer Yurtseven,MIA,C,269.7,139.98,-,-,-,399.36,-1,OUT,Ankle
783,Dewayne Dedmon,MIA,C,287.1,139.98,-,-,-,434.25,0.00,OUT,Foot
T166,Briante Weber,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Alan Williams,FA,C,140.0,139.98,-,-,-,-,-1,,
T166,Mike James,FA,G,140.0,139.98,-,-,-,-,0.00,,
898,Austin Rivers,MIN,G,383.8,139.98,-,-,-,627.70,-1,,
784,Ousmane Dieng,OKC,F,288.7,139.98,-,-,191.50,534.70,-1,,
T166,Donta Hall,FA,F,140.0,139.98,-,-,-,-,-1,,
742,Drew Eubanks,POR,C,249.3,139.98,-,-,-,358.66,-1,,
T166,Jared Harper,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Jabari Parker,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Alec Peters,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Zhou Qi,FA,F,140.0,139.98,-,-,-,-,0.01,,
679,Richaun Holmes,SAC,C,159.6,139.98,-,132.70,191.70,173.98,-1,,
T166,Paul Watson,FA,F,140.0,139.98,-,-,-,-,-1,,
800,Jaden Hardy,DAL,G,298.0,139.98,-,-,191.80,562.27,-1,,
T166,Balsa Koprivica,FA,C,140.0,139.98,-,-,-,-,-1,,
837,Jabari Walker,POR,F,327.8,139.98,-,-,-,515.60,-1,,
T166,Gabriel Deck,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Carsen Edwards,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Tim Frazier,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Brice Johnson,FA,F,140.0,139.98,-,-,-,-,-1,,
858,Facundo Campazzo,FA,G,347.6,139.98,-,-,-,555.27,-1,,
T166,Tyler Davis,FA,C,140.0,139.98,-,-,-,-,-1,,
948,Vernon Carey,WAS,C,428.9,139.98,-,-,-,717.90,-1,OUT,Illness
813,Dalano Banton,TOR,G,307.8,139.98,-,-,-,475.55,-1,,
T816,Simone Fontecchio,UTA,F,308.6,139.98,-,-,-,477.26,-1,,
T166,Alex Poythress,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Greg Whittington,FA,F,140.0,139.98,-,-,-,-,-1,,
906,Christian Koloko,TOR,C,395.9,139.98,-,-,-,651.90,0.00,,
T166,Jerome Robinson,FA,G,140.0,139.98,-,-,-,-,-1,,
696,Oshae Brissett,IND,F,183.6,139.98,-,-,190.80,220.04,-1,,
T166,Filip Petrusev,FA,F,140.0,139.98,-,-,-,-,-1,,
923,Nathan Knight,MIN,C,413.9,139.98,-,-,-,687.90,-1,,
T166,Reggie Perry,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Jamorko Pickett,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Damien Inglis,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Sergey Karasev,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Darius Miller,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Matt Costello,FA,F,140.0,139.98,-,-,-,-,0.00,,
T166,Justin Wright-Foreman,FA,G,140.0,139.98,-,-,-,-,-1,,
888,Mfiondu Kabengele,BOS,C,371.1,139.98,-,-,-,602.20,-1,,
T166,Rayjon Tucker,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,J.P. Macura,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Dee Bost,FA,G,140.0,139.98,-,-,-,-,-1,,
939,Gorgui Dieng,SAS,C,422.9,139.98,-,-,-,705.90,-1,,
T166,Jeff Dowtin,TOR,G,140.0,139.98,-,-,-,-,-1,,
921,Anthony Gill,WAS,F,412.9,139.98,-,-,-,685.90,-1,,
T790,Chris Chiozza,FA,G,292.0,139.98,-,-,-,444.06,-1,,
T166,Will Magnay,FA,C,140.0,139.98,-,-,-,-,-1,,
T166,Chris Clemons,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Jarnell Stokes,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Jameel Warney,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Josh Magette,FA,G,140.0,139.98,-,-,-,-,-1,,
946,Stanley Johnson,FA,F,427.4,139.98,-,-,-,714.90,-1,,
T166,Micah Potter,UTA,C,140.0,139.98,-,-,-,-,-1,,
940,Peyton Watson,DEN,F,423.9,139.98,-,-,-,707.90,-1,,
T166,Keifer Sykes,FA,G,140.0,139.98,-,-,-,-,-1,GTD,Undisclosed
T166,Milton Doyle,FA,G,140.0,139.98,-,-,-,-,-1,,
830,Goran Dragic,CHI,G,319.9,139.98,-,-,-,499.90,0.01,,
760,Jaylin Williams,OKC,C,267.1,139.98,-,-,191.50,469.92,-1,,
T166,DeVaughn Akoon-Purcell,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Trevor Ariza,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Malcolm Delaney,FA,G,140.0,139.98,-,-,-,-,-1,,
730,Nickeil Alexander-Walker,UTA,G,231.2,139.98,-,-,191.60,361.97,-1,,
T166,Trevon Bluiett,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Allonzo Trier,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Yam Madar,FA,G,140.0,139.98,-,-,-,-,-1,,
824,JT Thor,CHA,F,315.3,139.98,-,-,-,490.57,-1,,
T166,Harry Giles,FA,C,140.0,139.98,-,-,-,-,-1,OFS,Undisclosed
857,Malaki Branham,SAS,G,345.6,139.98,-,-,-,551.27,-1,,
T166,Thomas Welsh,FA,C,140.0,139.98,-,-,-,-,-1,,
T166,Phil Pressey,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Vander Blue,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,JaKarr Sampson,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Rodney Hood,FA,G,140.0,139.98,-,-,-,-,-1,,
879,David Roddy,MEM,F,364.4,139.98,-,-,-,588.90,-1,,
T166,Ty-Shon Alexander,FA,G,140.0,139.98,-,-,-,-,-1,GTD,Sprain
694,Jeremy Sochan,SAS,F,183.0,139.98,-,-,168.30,240.62,-1,GTD,Quadriceps
T166,Chris Johnson,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Aron Baynes,FA,C,140.0,139.98,-,-,-,-,0.01,,
T166,Cady Lalanne,FA,C,140.0,139.98,-,-,-,-,-1,,
T166,Dakota Mathias,FA,G,140.0,139.98,-,-,-,-,-1,,
831,Corey Kispert,WAS,G,323.2,139.98,-,-,-,506.50,-1,,
T166,Mindaugas Kuzminskas,FA,F,140.0,139.98,-,-,-,-,-1,,
T166,Brandon Knight,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Avery Bradley,FA,G,140.0,139.98,-,-,-,-,-1,,
T166,Jontay Porter,FA,F,140.0,139.98,-,-,-,-,0.00,,
949,Jason Preston,LAC,G,429.4,139.98,-,-,-,718.90,-1,,
661,Joshua Primo,FA,G,151.4,139.98,156.20,-,134.30,175.01,0.06,,
T166,Scottie Lewis,FA,G,140.0,139.98,-,-,-,-,-1,OUT,Leg
T790,Nate Hinton,FA,F,292.0,139.98,-,-,-,444.10,-1,,
929,Saben Lee,PHI,G,418.4,139.99,-,-,-,696.90,-1,,
T166,Diamond Stone,FA,C,140.0,139.99,-,-,-,-,0.00,,
T166,Ron Baker,FA,G,140.0,139.99,-,-,-,-,-1,,
T166,Nate Wolters,FA,G,140.0,139.99,-,-,-,-,-1,,
810,Blake Wesley,SAS,G,305.2,139.99,-,-,-,470.37,-1,OUT,Knee
718,Chuma Okeke,ORL,F,215.4,139.99,-,141.00,-,365.10,-1,OUT,Knee
908,Isaiah Joe,OKC,G,397.1,139.99,-,-,-,654.20,-1,,
T166,Satnam Singh Bhamara,FA,C,140.0,139.99,-,-,-,-,-1,,
T166,Dimitrios Agravanis,FA,F,140.0,139.99,-,-,-,-,-1,,
711,Jeremiah Robinson-Earl,OKC,C,207.4,139.99,-,-,190.20,291.95,0.00,,
883,Daniel Theis,IND,C,366.4,139.99,-,-,-,592.90,-1,OUT,Knee
T166,Zylan Cheatham,FA,F,140.0,139.99,-,-,-,-,0.00,,
T166,Justin Anderson,FA,F,140.0,139.99,-,-,-,-,-1,,
T166,DeAndre' Bembry,FA,F,140.0,139.99,-,-,-,-,-1,OUT,Knee
T166,Denzel Valentine,FA,G,140.0,139.99,-,-,-,-,-1,,
T166,Jake Layman,FA,F,140.0,139.99,-,-,-,-,-1,,
T166,Aaron White,FA,F,140.0,139.99,-,-,-,-,-1,,
T166,Eric Griffin,FA,F,140.0,139.99,-,-,-,-,-1,,
743,Jaylen Hoard,FA,F,250.7,139.99,-,-,191.80,420.40,-1,,
T166,Joel Berry,FA,G,140.0,139.99,-,-,-,-,-1,,
649,Immanuel Quickley,NYK,G,147.6,139.99,144.07,141.40,150.70,161.79,0.00,,
T166,Andrew White,FA,F,140.0,139.99,-,-,-,-,-1,,
T793,Nerlens Noel,DET,C,293.5,139.99,-,-,-,447.04,-1,,
T166,Tyler Ennis,FA,G,140.0,139.99,-,-,-,-,-1,,
T166,Marcus Graves,FA,G,140.0,139.99,-,-,-,-,-1,GTD,Personal
963,Lindy Waters,OKC,F,441.4,139.99,-,-,-,742.90,-1,,
909,Dalen Terry,CHI,G,397.4,139.99,-,-,-,654.90,-1,,
787,Paul Reed,PHI,F,291.0,139.99,-,-,-,441.93,-1,,
T166,Mitch Creek,FA,G,140.0,139.99,-,-,-,-,-1,,
T166,Marcus Zegarowski,FA,G,140.0,139.99,-,-,-,-,-1,,
T166,Shane Larkin,FA,G,140.0,139.99,-,-,-,-,-1,,
835,Mike Muscala,OKC,C,327.6,139.99,-,-,-,515.20,-1,,
T166,Joffrey Lauvergne,FA,F,140.0,139.99,-,-,-,-,-1,,
T166,Kyle Collinsworth,FA,G,140.0,139.99,-,-,-,-,-1,,
781,Jake LaRavia,MEM,F,285.2,139.99,-,-,-,430.33,-1,GTD,Foot
T166,Jay Huff,FA,C,140.0,139.99,-,-,-,-,-1,,
899,KZ Okpala,SAC,F,387.9,139.99,-,-,-,635.90,-1,,
T166,Semi Ojeleye,FA,F,140.0,139.99,-,-,-,-,-1,,
926,Taj Gibson,WAS,C,415.4,139.99,-,-,-,690.90,-1,,
T166,Elfrid Payton,FA,G,140.0,139.99,-,-,-,-,-1,,
T166,Isaia Cordinier,FA,G,140.0,139.99,-,-,-,-,-1,,
T166,Trent Forrest,ATL,G,140.0,139.99,-,-,-,-,-1,OUT,Concussion
687,Gary Payton,POR,G,166.9,139.99,-,143.10,191.90,192.68,-1,GTD,Abdomen
T166,Vince Williams,MEM,F,140.0,139.99,-,-,-,-,-1,,
953,Kennedy Chandler,MEM,G,432.4,139.99,-,-,-,724.90,-1,,
767,JD Davison,BOS,G,273.9,139.99,-,-,-,407.90,-1,,
